id,date,focal,tday,cond,dayofcond,observer,weather,ctpos,numct,sexct,ctfeed,ctenrich,ctclean,ctint,start,finish,enrich,enrichtime,timetoenrich,feeding,timetofeed,clean,cleant,timetoclean,xtraint,pxtraint,sep,patatsmed,foodgrunt,grunt,lipsmack,pbaboon,phuman,hgroomct,hgroomd,bgroomct,bgroomd,ghgroomct,ghgroomd,gbgroomct,gbgroomd,penisd,playb,plays,manenrichct,manenrichd,embraceh,embraceb,dproxct,dproxout,movetoobs,playvocal,iproxct,iproxout,threatg,bark,headshake,yawn,aggb,pace,aggdisp,teeth,rubgen,sway,turn,scream,sgroomct,sgroomd,eatct,eatd,drink,foragect,foraged,restct,restd,schratch,other ,comment
hope ,17/05,1,11,2,2,j,sunny,s,1,m,ms,ms,,,7:53:00 AM,8:13:00 AM,iceiwithkongball,2:19:00 PM,b,10:08:00 AM,b,no,,,0,,no,,0,5,0,1,0,,,0,0,,,0,0,,0,0,2,33,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,2,98,0,0,0,0,0,7,744,2,0,
hope ,17/05,2,11,2,2,j,sunny,s,1,m,ms,ms,,,8:59:00 AM,9:19:00 AM,iceiwithkongball,2:19:00 PM,b,10:08:00 AM,b,no,,,0,,no,,0,1,1,0,0,,,3,162,,,2,41,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,3,0,0,0,0,0,1,15,8,823,4,0,
hope ,17/05,3,11,2,2,j,sunny,s,1,m,ms,ms,,,2:47:00 PM,3:07:00 PM,iceiwithkongball,2:19:00 PM,a,10:08:00 AM,a,no,,,0,,yes,,0,21,7,0,0,,,0,0,,,0,0,,0,0,4,254,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,1,15,1,110,0,5,174,5,473,4,0,
ayana,17/05,1,11,2,2,j,sunny,s,1,m,ms,ms,,,8:14:00 AM,8:34:00 AM,iceiwithkongball,2:18:00 PM,b,10:09:00 AM,b,no,,,0,,no,,0,4,0,0,0,,,1,399,,,3,167,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,1,1,99,0,0,0,0,0,9,353,5,0,
ayana,17/05,2,11,2,2,j+r,sunny,s,1,m,ms,ms,,,12:04:00 PM,12:24:00 PM,iceiwithkongball,2:18:00 PM,b,10:09:00 AM,a,no,,,0,,yes,,0,0,0,2,0,,,0,0,,,4,937,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,2,34,0,0,0,0,0,3,135,1,0,
ayana,17/05,3,11,2,2,j+r,sunny,s,1,m,ms,ms,,,12:49:00 PM,1:09:00 PM,iceiwithkongball,2:18:00 PM,b,10:09:00 AM,a,no,,,0,,yes,,0,80,5,1,0,,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,1,14,0,0,0,0,0,11,924,5,0,
patats,17/05,1,11,4,2,j,sunny,s+v,2,m+f,ms,ms,,fv,8:37:00 AM,8:57:00 AM,iceiwithkongball,2:15:00 PM,b,10:13:00 AM,b,no,,,0,yes,,b,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,2,1181,2,0,
patats,17/05,2,11,4,2,j,sunny,s+v,2,m+f,ms,ms,,fv,10:33:00 AM,10:53:00 AM,iceiwithkongball,2:15:00 PM,b,10:13:00 AM,a,no,,,yes,yes,,b,0,27,4,0,4,4,288,0,0,0,0,1,16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,2,42,0,0,0,7,301,2,337,12,0,
patats,17/05,3,11,4,2,j+r,sunny,s+v,2,m+f,ms,ms,,fv,12:27:00 PM,12:47:00 PM,iceiwithkongball,2:15:00 PM,b,10:13:00 AM,a,no,,,0,yes,,b,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,2,1171,8,1,
ayana,18/05,1,12,4,2,j,sunny,s+s+v,3,m+m+f,ms,ms,,fv,8:18:00 AM,8:38:00 AM,bamboolog+wirecage,4:02:00 PM,b,11:17:00 AM,b,no,,,0,,no,,0,0,0,0,0,0,0,2,718,0,0,1,421,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,
ayana,18/05,2,12,4,2,j+r,sunny,s+s+v,3,m+m+f,ms,ms,,fv,11:26:00 AM,11:46:00 AM,bamboolog+wirecage,4:02:00 PM,b,11:17:00 AM,a,no,,,0,,yes,,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,19,721,1,13,130,1,26,8,0,
ayana,18/05,3,12,4,2,j,sunny,s+s+v,3,m+m+f,ms,ms,,fv,4:28:00 PM,4:48:00 PM,bamboolog+wirecage,4:02:00 PM,a,11:17:00 AM,a,no,,,yes,,yes,,0,51,5,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,0,,0,0,5,105,0,11,175,10,124,4,0,
hope ,18/05,1,12,4,2,j,sunny,s+s+v,3,m+m+f,ms,ms,,ms,10:31:00 AM,10:51:00 AM,bamboolog+wirecage,4:01:00 PM,b,11:16:00 AM,b,no,,,yes,,no,,0,22,4,1,0,0,0,0,0,0,0,1,59,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,4,62,0,0,0,0,0,13,521,5,0,
hope ,18/05,2,12,4,2,j,sunny,s+s+v,3,m+m+f,ms,ms,,ms,11:48:00 AM,12:08:00 PM,bamboolog+wirecage,4:01:00 PM,b,11:16:00 AM,b,no,,,0,,yes,,0,32,6,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,,0,0,,1,11,6,297,0,5,178,6,574,14,0,
hope ,18/05,3,12,4,2,j,sunny,s+s+v,3,m+m+f,ms,ms,,ms,1:54:00 PM,2:14:00 PM,bamboolog+wirecage,4:01:00 PM,b,11:16:00 AM,a,no,,,0,,yes,,0,7,9,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,3,2,,0,0,,0,0,3,223,0,3,75,7,742,1,0,
patats,18/05,1,12,2,2,j,sunny,s+v,2,m+f,ms,ms,ms+fv,,7:34:00 AM,7:54:00 AM,bamboolog+wirecage,4:09:00 PM,b,11:21:00 AM,b,yes,1:11:00 PM,b,0,,,b,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,,0,0,,8,342,0,0,0,0,0,9,525,7,0,
patats,18/05,2,12,2,2,j,sunny,s+v,2,m+f,ms,ms,ms+fv,,1:09:00 PM,1:29:00 PM,bamboolog+wirecage,4:09:00 PM,b,11:21:00 AM,a,yes,1:11:00 PM,d,0,,,b,0,1,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,3,0,0,,0,0,,0,0,0,0,0,0,0,4,834,10,0,
patats,18/05,3,12,2,2,j,sunny,s+v,2,m+f,ms,ms,ms+fv,,1:51:00 PM,2:11:00 PM,bamboolog+wirecage,4:09:00 PM,b,11:21:00 AM,a,yes,1:11:00 PM,d,0,,,b,0,1,2,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,,1,13,0,0,0,0,0,8,1112,8,0,
stevie,18/05,1,12,2,2,j,sunny,s+v,2,m+f,ms,ms,ms+fv,,7:56:00 AM,8:16:00 AM,bamboolog+kongball,4:08:00 PM,b,11:22:00 AM,b,yes,2:07:00 PM,b,0,,,,0,2,1,,0,,,0,0,,,0,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,2,,3,201,0,0,0,4,269,3,416,4,1,
stevie,18/05,2,12,2,2,j,sunny ,s+v,2,m+f,ms,ms,ms+fv,,2:16:00 PM,2:36:00 PM,bamboolog+kongball,4:08:00 PM,b,11:22:00 AM,a,yes,2:07:00 PM,d,0,,,,0,0,1,,0,,,1,7,,,0,0,0,0,7,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,,0,0,0,0,0,6,125,3,227,5,0,
stevie,18/05,3,12,2,2,j,sunny ,s+v,2,m+f,ms,ms,ms+fv,,2:37:00 PM,2:58:00 PM,bamboolog+kongball,4:08:00 PM,b,11:22:00 AM,a,yes,2:07:00 PM,d,0,,,,0,0,0,,0,,,0,0,,,0,0,0,0,3,0,0,,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,,0,0,0,0,0,1,4,5,326,3,0,
patats,19/05,1,13,2,2,j,sunny,s,1,m,ms,ms,,,7:47:00 AM,8:07:00 AM,kongballs,2:50:00 PM,b,10:17:00 AM,b,no,,,0,yes,,b,0,0,1,0,0,,,0,0,,,0,0,,0,0,1,83,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,1,335,0,3,198,3,480,7,0,
patats,19/05,2,13,2,2,j,sunny,s,1,m,ms,ms,,,9:37:00 AM,9:57:00 AM,kongballs,2:50:00 PM,b,10:17:00 AM,b,no,,,0,yes,,b,0,0,0,0,0,,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,4,1081,0,0,
patats,19/05,3,13,2,2,j,sunny,s,1,m,ms,ms,,,2:21:00 PM,2:41:00 PM,kongballs,2:50:00 PM,b,10:17:00 AM,a,no,,,0,yes,,b,0,44,2,1,0,,,1,26,,,5,187,,1,0,0,0,,0,0,1,0,1,0,0,0,0,0,0,0,15,0,0,,0,1,,2,17,0,0,0,1,23,5,445,6,0,
ayana,19/05,1,13,4,2,j,sunny,s+v+v+v,4,m+f+f+f,ms,ms,ms+fv+fv,fv,9:14:00 AM,9:34:00 AM,kongballs,2:40:00 PM,b,10:21:00 AM,b,yes,1:16PM,b,yes,,no,,0,3,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,,0,0,0,0,0,0,0,7,952,7,0,
ayana,19/05,2,13,4,2,j,sunny,s+v+v+v,4,m+f+f+f,ms,ms,ms+fv+fv,fv,1:15:00 PM,1:35:00 PM,kongballs,2:40:00 PM,b,10:21:00 AM,a,yes,1:16PM,d,0,,no,,0,2,4,1,0,0,0,1,35,0,0,3,112,,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,15,651,5,0,
ayana,19/05,3,13,4,2,j,sunny,s+v+v+v,4,m+f+f+f,ms,ms,ms+fv+fv,fv,3:33:00 PM,3:53:00 PM,kongballs,2:40:00 PM,a,10:21:00 AM,a,yes,1:16PM,a,0,,no,,0,0,0,0,0,0,0,4,1076,0,0,3,71,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,
hope ,19/05,1,13,4,2,j,sunny,s+v+v+v,4,m+f+f+f,ms,ms,ms+fv+fv,fv,1:37:00 PM,1:57:00 PM,kongballs,2:41:00 PM,b,10:22:00 AM,a,yes,1:16PM,d,0,,no,,0,0,0,0,0,0,0,2,144,0,0,3,969,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,1,36,1,0,
hope ,19/05,2,13,4,2,j,sunny,s+v+v+v,4,m+f+f+f,ms,ms,ms+fv+fv,fv,1:58:00 PM,2:18:00 PM,kongballs,2:41:00 PM,b,10:22:00 AM,a,yes,1:16PM,d,0,,no,,0,0,0,0,0,0,0,1,225,0,0,3,873,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,1,28,3,0,
hope ,19/05,3,13,4,2,j,sunny,s+v+v+v,4,m+f+f+f,ms,ms,ms+fv+fv,fv,3:07:00 PM,3:27:00 PM,kongballs,2:41:00 PM,a,10:22:00 AM,a,yes,1:16PM,a,yes,,yes,,3,49,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,,0,0,,3,21,0,0,0,1,7,15,675,5,0,
stevie,19/05,1,13,2,2,j,sunny,s,1,m,ms,ms,,,8:08:00 AM,8:28:00 AM,kongballs,2:45:00 PM,b,10:17:00 AM,b,no,,,0,,,,0,1,0,,0,,,0,0,,,0,0,0,0,0,1,224,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,0,0,0,0,0,0,0,1,935,4,1,
stevie,19/05,2,13,2,2,j,sunny,s,1,m,ms,ms,,,8:29:00 AM,8:49:00 AM,kongballs,2:45:00 PM,b,10:17:00 AM,b,no,,,0,,,,0,0,0,,0,,,0,0,,,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,1,5,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,3,1109,3,0,
stevie,19/05,3,13,2,2,j,sunny,s,1,m,ms,ms,,,10:28:00 AM,10:48:00 AM,kongballs,2:45:00 PM,b,10:17:00 AM,a,no,,,0,,,,0,14,0,,0,,,0,0,,,0,0,0,0,0,0,0,,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,,0,0,3,265,0,5,906,0,0,2,0,
hope ,23/05,1,14,2,3,j,sunny,s+s+v,3,m+m+f,ms,ms,ms+fv,,7:31:00 AM,7:51:00 AM,scatterfeed,3:25:00 PM,b,12:38:00 PM,b,yes,10:00:00 AM,b,0,,no,,0,5,5,1,0,0,0,2,32,0,0,3,375,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1,4,3,608,4,0,
hope ,23/05,2,14,2,3,j,sunny,s+s+v,3,m+m+f,ms,ms,ms+fv,,10:08:00 AM,10:28:00 AM,scatterfeed,3:25:00 PM,b,12:38:00 PM,b,yes,10:00:00 AM,d,0,,no,,0,0,1,1,0,0,0,0,0,0,0,1,108,,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,0,0,,0,0,1,41,0,2,88,4,584,2,0,
hope ,23/05,3,14,2,3,j,sunny,s+s+v,3,m+m+f,ms,ms,ms+fv,,1:37:00 PM,1:57:00 PM,scatterfeed,3:25:00 PM,b,12:38:00 PM,a,yes,10:00:00 AM,a,0,,yes,,0,30,7,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,1,36,0,0,0,1,15,3,1073,0,0,
ayana,23/05,1,14,2,3,j,sunny,s+s+v,3,m+m+f,ms,ms,ms+fv,,7:52:00 AM,8:12:00 AM,scatterfeed,3:27:00 PM,b,12:39:00 PM,b,yes,10:00:00 AM,b,0,,no,,0,49,8,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,,0,0,,0,0,4,159,0,0,0,7,624,1,0,
ayana,23/05,2,14,2,3,j,sunny,s+s+v,3,m+m+f,ms,ms,ms+fv,,10:54:00 AM,11:14:00 AM,scatterfeed,3:27:00 PM,b,12:39:00 PM,b,yes,10:00:00 AM,a,0,,no,,1,31,1,0,0,0,0,1,135,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0,0,,0,0,0,0,0,1,110,6,713,8,0,
ayana,23/05,3,14,2,3,j,sunny,s+s+v,3,m+m+f,ms,ms,ms+fv,,2:27:00 PM,2:47:00 PM,scatterfeed,3:27:00 PM,b,12:39:00 PM,a,yes,10:00:00 AM,a,0,,yes,,0,34,3,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,,0,0,0,0,0,0,0,9,837,3,0,
stevie,23/05,1,14,4,3,j,sunny,s+v,2,m+f,ms,ms,,fv,8:15:00 AM,8:35:00 AM,scatterfeed,3:22:00 PM,b,12:42:00 PM,b,no,,,0,,,,1,0,0,,0,,,0,0,,,0,0,0,0,0,0,0,,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,,0,0,5,323,0,9,347,3,91,1,0,
stevie,23/05,2,14,4,3,j,sunny,s+v,2,m+f,ms,ms,,fv,10:32:00 AM,10:52:00 AM,scatterfeed,3:22:00 PM,b,12:42:00 PM,b,no,,,0,,,,0,17,0,,0,,,5,1017,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,81,1,0,
stevie,23/05,3,14,4,3,j,sunny,s+v,2,m+f,ms,ms,,fv,2:01:00 PM,2:21:00 PM,scatterfeed,3:22:00 PM,b,12:42:00 PM,a,no,,,yes,,,,0,33,4,,0,,,0,0,,,0,0,0,0,4,0,0,,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,3,95,3,991,7,0,
patats,23/05,1,14,3,3,j,sunny,s,1,m,ms,ms,,,8:36:00 AM,8:56:00 AM,scatterfeed,3:22:00 PM,b,12:42:00 PM,b,no,,,0,yes,,b,0,53,7,1,0,,,0,0,,,1,449,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,,0,0,3,189,0,11,237,1,27,4,0,
patats,23/05,2,14,3,3,j,sunny,s,1,m,ms,ms,,,8:58:00 AM,9:18:00 AM,scatterfeed,3:22:00 PM,b,12:42:00 PM,b,no,,,0,yes,,b,0,56,2,0,0,,,0,0,,,2,621,,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,,2,39,0,0,0,1,27,3,407,12,0,
patats,23/05,3,14,3,3,j,sunny,s,1,m,ms,ms,,,2:50:00 PM,3:10:00 PM,scatterfeed,3:22:00 PM,b,12:42:00 PM,a,no,,,0,yes,,b,0,0,0,1,0,,,0,0,,,2,117,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,1,12,6,964,10,0,
ayana,24/05,1,15,3,3,j,sunny,s,1,m,ms,ms,,,7:37:00 AM,7:57:00 AM,kongballs,4:14:00 PM,b,12:18:00 PM,b,no,,,0,,no,,0,0,0,0,0,,,0,0,,,1,52,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,,0,0,3,267,0,4,202,2,621,5,1,
ayana,24/05,2,15,3,3,j,sunny,s,1,m,ms,ms,,,10:30:00 AM,10:50:00 AM,kongballs,4:14:00 PM,b,12:18:00 PM,b,no,,,0,,no,,1,0,1,0,0,,,0,0,,,0,0,,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,7,981,5,0,
ayana,24/05,3,15,3,3,j+r,sunny,s,1,m,ms,ms,,,10:46:00 AM,11:06:00 AM,kongballs,4:14:00 PM,b,12:18:00 PM,b,no,,,0,,no,,0,2,2,0,0,,,0,0,,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,9,586,1,5,229,7,251,4,0,
stevie,24/05,1,15,3,3,j,sunny,s,1,m,ms,ms,,,7:59:00 AM,8:19:00 AM,kongballs,4:28:00 PM,b,12:12:00 PM,b,no,,,0,,,,0,1,1,,0,,,0,0,,,0,0,1,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,3,48,2,988,6,0,
stevie,24/05,2,15,3,3,j+r,sunny,s,1,m,ms,ms,,,11:23:00 AM,11:43:00 AM,kongballs,4:28:00 PM,b,12:12:00 PM,b,no,,,0,,,,0,11,1,,0,,,1,24,,,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,,0,0,1,164,0,2,262,3,636,3,1,
stevie,24/05,3,15,3,3,j,sunny,s,1,m,ms,ms,,,2:31:00 PM,2:51:00 PM,kongballs,4:28:00 PM,b,12:12:00 PM,a,no,,,0,,,,5,0,3,,0,,,1,5,,,0,0,0,0,8,0,0,,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,0,0,0,0,0,1,115,3,949,0,0,
patats,24/05,1,15,4,3,j,sunny,s+v,2,m+f,ms,ms,,fv,8:20:00 AM,8:40:00 AM,touchboard,4:21:00 PM,b,12:12:00 PM,b,no,,,0,yes,,b,0,15,0,3,0,0,0,1,255,0,0,3,396,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,3,220,0,7,195,0,0,6,0,
